hometeam	awayteam	homescore awayscore
Rangers		Celtic		3	  3
Rangers		Celtic		4	  1
Celtic		Rangers		0	  4
Celtic		Rangers		0	  0
Rangers		Celtic		0	  4
Rangers		Celtic		2	  0
Celtic		Rangers		1	  1
Celtic		Rangers		6	  2
Rangers		Celtic		2	  4
Rangers		Celtic		1	  1
Celtic		Rangers		5	  3
Celtic		Rangers		3	  2
Rangers		Celtic		5	  0
Celtic		Rangers		3	  0
Rangers		Celtic		2	  2
Rangers		Celtic		1	  1
Celtic		Rangers		3	  0
Rangers		Celtic		1	  2
Celtic		Rangers		2	  2
Livingston	Celtic		0	  3 
Celtic		Livingston	2	  0 
Livingston	Celtic		0	  3 
Celtic		Livingston	3	  0 
Celtic		Livingston	2	  1 
Livingston	Celtic		0	  3 
Livingston	Celtic		1	  3 
Celtic		Livingston	0	  0 
Livingston	Celtic		1	  0 
Celtic		Livingston	6	  0 
Livingston	Celtic		2	  2 
Celtic		Livingston	0	  0 
Celtic		Livingston	3	  2 
Livingston	Celtic		2	  2 
Celtic		Livingston	4	  0 
Livingston	Celtic		2	  0 
Celtic		Livingston	0	  0 
Livingston	Celtic		0	  0 
Celtic		Livingston	3	  1 
Livingston	Celtic		0	  2 
Celtic		Livingston	2	  1 
Livingston	Celtic		0	  5 
Livingston	Celtic		0	  4 
Celtic		Livingston	2	  1 
Livingston	Celtic		2	  4 
Celtic		Livingston	5	  1 
Livingston	Celtic		0	  2 
Celtic		Livingston	5	  1 
Celtic		Livingston	2	  1 
Livingston	Celtic		0	  2 
Celtic		Livingston	2	  0 
Celtic		Livingston	5	  1 
Livingston	Celtic		1	  3 
Celtic		Livingston	3	  2 
Livingston	Celtic		0	  0 
Falkirk		Celtic 		0 	  2 
Celtic		Falkirk 	1 	  1 
Falkirk		Celtic 		3 	  3 
Celtic		Falkirk 	4 	  0 
Falkirk		Celtic 		0 	  3 
Celtic		Falkirk 	3 	  0 
Falkirk		Celtic 		0 	  1 
Celtic		Falkirk 	4 	  0 
Falkirk		Celtic 		1 	  4 
Falkirk		Celtic 		1 	  0 
Celtic		Falkirk 	1 	  0 
Falkirk		Celtic 		0 	  1 
Celtic		Falkirk 	2 	  1 
Falkirk		Celtic 		0 	  3 
Celtic		Falkirk 	3 	  1 
Celtic		Falkirk 	4 	  0
Falkirk		Celtic 		0 	  0
Celtic		Falkirk 	1 	  0
Falkirk		Celtic 		0 	  1
Falkirk		Celtic 		1 	  2
Celtic		Falkirk 	2 	  0
Celtic		Falkirk 	0 	  2
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	1 	  0
Falkirk		Celtic 		0 	  3
Celtic		Falkirk 	3 	  2
Falkirk		Celtic 		4 	  5
Falkirk		Celtic 		0 	  3
Celtic		Falkirk 	2 	  0
Falkirk		Celtic 		4 	  3
Celtic		Falkirk 	4 	  1
Celtic		Falkirk 	2 	  0
Falkirk		Celtic 		0 	  2
Celtic		Falkirk 	3 	  2
Falkirk		Celtic 		0 	  1
Celtic		Falkirk 	1 	  2
Falkirk		Celtic 		1 	  2
Celtic		Falkirk 	4 	  2
Falkirk		Celtic 		0 	  1
Falkirk		Celtic 		1 	  1
Celtic		Falkirk 	6 	  0
