year heat rank n
2004 H1 7 8
2004 H2 1 8
2004 H3 3 8
2004 H4 2 7
2004 H5 5 8
2004 H6 3 8
2004 H7 6 8
2004 H8 7 8
2008 H1 8 8
2008 H2 8 8
2008 H3 6 8
2008 H4 6 8
2008 H5 1 8
2008 H6 5 8
2008 H7 3 8
2012 H2 8 8
2012 H3 5 8
2012 H4 1 8
2012 H5 3 6
2012 H6 3 7
2012 H7 1 7
2016 H1 1 8
2016 H2 4 8
2016 H3 2 7
2016 H4 4 8
2016 H5 4 7
2016 H6 3 7
2016 H7 2 8
2020 H1 7 8
2020 H2 7 8
2020 H3 1 8
2020 H4 7 8
2020 H5 1 8
2020 H6 8 8
2020 H7 7 8

